install_ts,user_id,install_version,platform
2024-03-01 07:44:17.127000,5f28a98ea8345e3a202ac37b,3.10.0,Android
2024-03-01 00:08:11.484000,60030861ef2f3efffe216d91,3.09.1,iOS
2024-03-01 22:50:25.771000,605e0ece0082fd62e2e45839,3.10.0,iOS
2024-03-01 17:20:00.191000,61cccd18179ed60166e32576,3.10.0,Android
2024-03-01 23:29:02.270000,6305380f33c5eb99157cf0e0,3.10.0,iOS
2024-03-01 02:11:30.097000,630ab65086a140c0bb96c495,3.10.0,Android
2024-03-01 22:59:53.464000,65bacf723cc6cc78d9f1fcfd,3.10.0,Android
2024-03-01 16:24:54.333000,65e0968052266cd075aee379,3.09.1,Android
2024-03-01 17:51:43.274000,65e0c07c557f90de047b1737,3.10.0,Android
2024-03-01 00:03:33.900000,65e11b544d6f2509571e3d5b,3.09.1,Android
2024-03-01 00:05:56.365000,65e11be3f402e9940e75a207,3.09.1,Android
2024-03-01 00:06:40.518000,65e11c10d0d1525fdd84038f,3.09.1,iOS
2024-03-01 00:08:57.422000,65e11c9334a1cda963ed1fb2,3.10.0,Android
2024-03-01 00:13:14.752000,65e11d9a85d35ed453019001,3.09.1,Android
2024-03-01 00:16:58.488000,65e11e7a45daaaa9205df3c2,3.09.1,iOS
2024-03-01 00:20:18.650000,65e11f424a743b8c31f35adb,3.10.0,iOS
2024-03-01 00:26:05.336000,65e1209c1cba53e27b49dc8e,3.10.0,Android
2024-03-01 00:26:15.771000,65e120a719fb93c4cbdcf546,3.09.1,Android
2024-03-01 00:29:07.878000,65e12151efa75f0df5d1b9d3,3.10.0,iOS
2024-03-01 00:30:24.950000,65e121a0a12a258c92a2963e,3.10.0,iOS
2024-03-01 00:38:05.148000,65e1236c9a8099b4ea4969b3,3.10.0,iOS
2024-03-01 00:41:16.139000,65e1242bbb84b09288cb8607,3.09.1,iOS
2024-03-01 00:46:07.348000,65e1254e492e68d79ce7de60,3.09.1,Android
2024-03-01 00:52:39.585000,65e126d62fdf3ce254422cdb,3.10.0,iOS
2024-03-01 00:52:50.808000,65e126e299084d06775cc586,3.10.0,iOS
